epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.724,1.72405,2.02523,1.19335,0.63624,0.30107,0.2853,0.14416,1.49921,1.00505,1.04246,0.000195784,0.000195784,0.000195784
2,280.849,1.60217,1.28943,1.15335,0.67378,0.32614,0.35317,0.18281,1.45556,0.90815,1.03256,0.000352998,0.000352998,0.000352998
3,396.237,1.56649,1.12458,1.13925,0.77621,0.33323,0.38668,0.20309,1.44982,0.87326,1.03058,0.000471403,0.000471403,0.000471403
4,510.629,1.52677,1.04436,1.12394,0.67119,0.38226,0.41687,0.22191,1.39271,0.83646,1.01476,0.000413364,0.000413364,0.000413364
5,625.282,1.49262,0.98008,1.10829,0.76108,0.39397,0.43734,0.23035,1.38252,0.80053,1.00756,0.000355152,0.000355152,0.000355152
6,741.18,1.46673,0.93884,1.0964,0.80858,0.41898,0.47683,0.25459,1.35423,0.76144,0.99987,0.00029694,0.00029694,0.00029694
7,857.055,1.43895,0.90062,1.08358,0.82366,0.42592,0.49246,0.26621,1.32876,0.7601,0.99524,0.000238728,0.000238728,0.000238728
8,971.88,1.41638,0.87098,1.07392,0.83416,0.44532,0.52168,0.28556,1.30585,0.71663,0.98307,0.000180516,0.000180516,0.000180516
9,1086.32,1.39222,0.83906,1.06281,0.845,0.44047,0.53079,0.29273,1.29936,0.7098,0.97518,0.000122304,0.000122304,0.000122304
10,1201.05,1.36991,0.81569,1.05313,0.85977,0.46027,0.54844,0.3079,1.27299,0.68582,0.96986,6.4092e-05,6.4092e-05,6.4092e-05
